property_id,image_path,price,split
1200019,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\1200019.jpg,647500.0,train
1200021,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\1200021.jpg,400000.0,train
11300120,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\11300120.jpg,635000.0,train
11510310,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\11510310.jpg,835000.0,train
11510700,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\11510700.jpg,755000.0,train
13001795,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\13001795.jpg,319500.0,train
13002460,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\13002460.jpg,205000.0,train
16000545,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\16000545.jpg,250000.0,train
34000005,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\34000005.jpg,343566.0,train
34001304,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\34001304.jpg,480000.0,train
100300280,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\100300280.jpg,355000.0,train
100500020,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\100500020.jpg,250000.0,train
103000116,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\103000116.jpg,645000.0,train
104510340,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\104510340.jpg,276200.0,train
104530240,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\104530240.jpg,225000.0,train
104540840,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\104540840.jpg,240000.0,train
104550520,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\104550520.jpg,270000.0,train
104550660,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\104550660.jpg,275000.0,train
109210460,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\109210460.jpg,270000.0,train
114101055,C:\Users\hiten\Documents\Satellite_Property_Valuation\images\train\114101055.jpg,383000.0,train
